psgc_code,barangay,urban_rural,population_2024,area_km2,density_per_km2,centroid_lat,centroid_lon
1102509001,Badas,Urban,7154,12.957,552.1,6.921087,126.180054
1102509002,Bobon,Urban,5142,24.686,208.3,6.86704,126.31527
1102509003,Buso,Rural,3970,12.039,329.8,7.011172,126.239883
1102509004,Cabuaya,Rural,2197,81.055,27.1,6.550059,126.199251
1102509005,Central,Urban,31934,10.547,3027.8,6.971,126.204016
1102509006,Culian,Rural,1848,24.276,76.1,6.972609,126.171914
1102509007,Dahican,Urban,18756,29.865,628.0,6.934534,126.278261
1102509008,Danao,Rural,775,7.737,100.2,6.923138,126.126989
1102509009,Dawan,Rural,4052,17.732,228.5,6.909116,126.150724
1102509010,Don Enrique Lopez,Urban,4303,9.428,456.4,6.984293,126.305979
1102509011,Don Martin Marundan,Urban,5098,23.597,216.0,6.979017,126.264357
1102509012,"Don Salvador Lopez, Sr.",Rural,4832,49.018,98.6,7.044039,126.273615
1102509013,Langka,Rural,1271,15.391,82.6,6.365596,126.196789
1102509015,Lawigan,Rural,3239,18.995,170.5,6.817083,126.324823
1102509016,Libudon,Rural,2513,12.984,193.5,6.944036,126.141644
1102509017,Luban,Rural,1373,24.206,56.7,6.445735,126.20066
1102509018,Macambol,Rural,6290,176.481,35.6,6.727403,126.203802
1102509019,Mamali,Rural,2362,7.44,317.5,6.8765,126.156043
1102509020,Matiao,Urban,16719,10.151,1647.0,6.96247,126.239336
1102509021,Mayo,Rural,3129,13.246,236.2,7.012442,126.318934
1102509022,Sainz,Urban,10710,26.579,402.9,6.995556,126.204118
1102509023,Sanghay,Rural,1505,23.256,64.7,6.995927,126.144429
1102509024,Tagabakid,Rural,1809,12.749,141.9,7.013473,126.355007
1102509025,Tagbinonga,Rural,1663,25.802,64.5,7.062557,126.232755
1102509026,Taguibo,Rural,2338,28.794,81.2,7.044033,126.202775
1102509027,Tamisan,Rural,3690,10.363,356.1,6.840659,126.304224
