psgc_10digit,correspondence_code,barangay,urban_rural,pop_2024_popcen
1102509001,112509001,Badas,Urban,7154
1102509002,112509002,Bobon,Urban,5142
1102509003,112509003,Buso,Rural,3970
1102509004,112509004,Cabuaya,Rural,2197
1102509005,112509005,Central,Urban,31934
1102509006,112509006,Culian,Rural,1848
1102509007,112509007,Dahican,Urban,18756
1102509008,112509008,Danao,Rural,775
1102509009,112509009,Dawan,Rural,4052
1102509010,112509010,Don Enrique Lopez,Urban,4303
1102509011,112509011,Don Martin Marundan,Urban,5098
1102509012,112509012,"Don Salvador Lopez, Sr.",Rural,4832
1102509013,112509013,Langka,Rural,1271
1102509015,112509015,Lawigan,Rural,3239
1102509016,112509016,Libudon,Rural,2513
1102509017,112509017,Luban,Rural,1373
1102509018,112509018,Macambol,Rural,6290
1102509019,112509019,Mamali,Rural,2362
1102509020,112509020,Matiao,Urban,16719
1102509021,112509021,Mayo,Rural,3129
1102509022,112509022,Sainz,Urban,10710
1102509023,112509023,Sanghay,Rural,1505
1102509024,112509024,Tagabakid,Rural,1809
1102509025,112509025,Tagbinonga,Rural,1663
1102509026,112509026,Taguibo,Rural,2338
1102509027,112509027,Tamisan,Rural,3690
